Boat,Club,PHRF,IRC
After Midnight,0.719,0.725,
Airship,0.743,0.753,1.031
Blink,0.979,0.96,1.362
Blurred Image,0.698,,
Brix,0.69,0.725,1.400
CU,0.742,0.76,
Charlie,0.595,,
Crusader,0.981,1.045,
Drinks Trolley,0.823,0.84,
Eat My Shorts,0.725,0.74,
Excel,0.715,,
Floating Free,0.708,,
Flying Fox,0.769,,
Gucci,0.742,0.745,0.963
Haumuri,0.654,0.665,
Helter Skelter,0.839,0.855,
Illusions,0.655,0.675,0.918
Incantare,0.703,0.725,
La Quintessence,0.697,,
Magic Trick,0.889,0.875,
Marangi,0.633,0.675,
Marishka,0.605,0.65,
Montego Bay III,0.71,0.745,
Port Nic 2,0.674,,
Prime Mover,0.737,0.762,0.964
Revenue Cutter,0.645,,
Revs,0.895,0.9,
Rosschild,0.616,0.68,
Saffron,0.676,,
Saucy Sausage,0.623,0.635,
St Laurence,1.027,,
Stepping Stone,0.74,0.755,
Structural Analysis,0.758,,
Testarossa,0.793,0.772,
The Guarantee,0.845,0.84,
Titus Canby,0.664,0.69,
Tortimony,0.608,,
Wai Aniwa,0.659,0.69,
Wedgetail,0.954,0.945,1.209
Whistler III,0.731,0.737,0.950
White Cavalier,0.571,0.65,
Wiseguy,0.68,0.725,
XTSea,0.735,,
Young Nicholson,0.804,,
